country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","11-11-2025 18:00:00",25.560083,87.553265,NO2,16,18,16
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","11-11-2025 18:00:00",26.0881305,87.93840336,NO2,9,11,10
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","11-11-2025 18:00:00",26.0881305,87.93840336,SO2,6,7,7
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","11-11-2025 18:00:00",26.0881305,87.93840336,CO,16,21,19
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","11-11-2025 18:00:00",27.308328,84.531742,PM10,45,214,96
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","11-11-2025 18:00:00",27.308328,84.531742,NH3,1,2,1
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","11-11-2025 18:00:00",27.308328,84.531742,OZONE,10,20,16
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","11-11-2025 18:00:00",26.63086,84.90051,PM2.5,28,143,78
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","11-11-2025 18:00:00",26.63086,84.90051,PM10,34,131,87
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","11-11-2025 18:00:00",26.63086,84.90051,NH3,3,3,3
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","11-11-2025 18:00:00",26.146529,87.454184,CO,22,33,27
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","11-11-2025 18:00:00",25.5626095,84.663264,PM2.5,26,53,41
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","11-11-2025 18:00:00",25.5626095,84.663264,NO2,6,9,7
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","11-11-2025 18:00:00",24.75746,84.366208,PM2.5,88,308,159
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","11-11-2025 18:00:00",25.42742023,86.13886079,PM2.5,66,166,128
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","11-11-2025 18:00:00",25.42742023,86.13886079,PM10,66,122,106
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","11-11-2025 18:00:00",25.42742023,86.13886079,OZONE,23,47,34
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","11-11-2025 18:00:00",26.80365,84.51954,NH3,1,2,1
